aid,body,qid,posted_by
00abeb37-e788-4fb9-937a-54ea98914175,"pgAdmin is the leading Open Source management tool for Postgres, the worlds most advanced Open Source database.",f2aa45e7-f98e-4d7b-b4b5-621d58cc8367,f01d4781-cb37-4cc8-aee9-62b380ad8380
03e416cc-203f-46b9-9300-3e320c3d5d75,CNN requires very little pre-process data as compared to other deep learning algorithms,517b9096-5db6-4f9b-b6ad-44d5076770e2,6a5593af-3a51-4ffe-b2c1-852d1d51f42c
09bbeb23-b161-4666-80f7-1a451cc07820,UPDATE count,949dcc49-3220-42a8-959c-e0c807a7be75,48ef54ce-9740-4f39-be07-dfa839910b0b
0d6b0de2-d9ef-429c-91b0-435764602f78,"Heat Map Chart, or Heatmap is a two-dimensional visual representation of data, where values are encoded in colors, delivering a convenient, insightful view of information",d34860d3-9d23-467f-96b2-18c08d77779a,bb4d5c07-02bb-4fa3-bde2-fa4e8e6bf326
0f36b276-2315-49d0-97f2-4f2844840a45, DataFrame is a 2-dimensional labeled data structure with columns of potentially different types,676132f9-f096-4ee3-98e6-0af366e6358b,b33acf68-7a18-4d93-99bb-abdf75bc6d7f
194d374f-1afa-43d8-a9b1-5cb85cd9fac9,Crystal Ball (standard edition) is the easiest way to perform Monte Carlo simulations in your Excel spreadsheets and model,97296533-a502-43c2-88ce-819de374dc95,58b2b648-61ed-4f0b-abb4-f54d5bd19ba0
1ced23b0-3ef0-46c2-9ddb-1248db2b7003,"UPDATE table_name SET field1 = new-value1, field2 = new-value2 [WHERE Clause]",9f284888-96ee-4868-848a-d056a47df95d,9a23f90e-aea6-4da3-807f-66f3f6c4264d
1ff0135e-e915-4745-b5d5-dffa832749fb,"UPDATE table_name SET column1 = value1, column2 = value2, ... WHERE condition;",949dcc49-3220-42a8-959c-e0c807a7be75,475300e3-5ae8-48ff-a574-b293f5f596f4
2396dde5-e3f0-4dca-81fc-09e7f04e8ab1,Generalized Reduced Gradient (GRG) Nonlinear Use for problems that are smooth nonlinear,283960e3-d03c-4f59-be85-fe2c1ee8fc7d,469d7302-7fc1-403f-ac42-a84850433dfe
242d8dd7-97d4-4691-9b7d-faf4c4ce658a,import pandas as pd ,9784fb6f-d543-4e1d-8651-dbe0f21b50ef,726789c7-5a76-41cf-9e57-cc2b5a713485
2ae40faa-5cd3-4b3c-94fe-ecf1298322b3,"The Simplex method is an approach to solving linear programming models by hand using slack variables, tableaus, and pivot variables as a means to finding the optimal solution of an optimization problem",e6b0c3e8-0fbc-46a1-9d54-08112d8a6bac,d2deb08e-f08f-4527-89a2-6f338e2ea5bc
2f19c75b-86e8-42fb-bcc3-8342e3377563,"The k-nearest neighbors algorithm, also known as KNN or k-NN, is a non-parametric, supervised learning classifier, which uses proximity to make classifications or predictions about the grouping of an individual data point.",8124984a-22e9-4233-a9fc-baf233d63d1e,2be458bf-f1c3-4393-99ea-58bab9865dea
33df489f-82d3-45d0-ba58-fc1398c99497,"PGAdmin is a web-based GUI tool used to interact with the Postgres database sessions, both locally and remote servers as well",f2aa45e7-f98e-4d7b-b4b5-621d58cc8367,f60655cd-0b60-4353-819d-33cddbf459ee
