qid,body,title,posted_by,created_at,updated_at
08b83bf0-5e09-491a-9a16-f9ba65c0ea34,How to insert values in PostgreSQL?                             ,Title-1                                                         ,4178f1b1-6e07-484d-9f29-329a6f65ba95,2020-06-24 00:00:00-04,2022-02-15 00:00:00-05
22562942-7b30-4446-878f-31a8f1976aac,How to delete values in MySQL?                                  ,Title-2                                                         ,57bba89b-10a6-49fe-afbc-6cd721a93b6d,2011-06-21 00:00:00-04,2015-08-15 00:00:00-04
283960e3-d03c-4f59-be85-fe2c1ee8fc7d,How does Non Linear GRG work?                                   ,Title-3                                                         ,6f352cc4-5329-4977-992c-0250a68c70b6,2015-11-06 00:00:00-05,2017-04-25 00:00:00-04
3194e148-9d0c-41fe-8557-44d6847c2b2b,What is Recursive SQL?                                          ,Title-4                                                         ,1a589a22-184a-4338-8b92-a31b9976cfb0,2021-09-09 00:00:00-04,2016-02-21 00:00:00-05
517b9096-5db6-4f9b-b6ad-44d5076770e2,How does CNN work?                                              ,Title-5                                                         ,3f9f8994-e7e6-40bd-9575-f288de7eeedc,2002-06-20 00:00:00-04,2022-06-17 00:00:00-04
51c26c51-f0d5-471a-b2fb-fdcf4ff84d12,How to insert values in MySQL?                                  ,Title-6                                                         ,48ef54ce-9740-4f39-be07-dfa839910b0b,2003-02-08 00:00:00-05,2015-02-22 00:00:00-05
6547a6c9-f037-49df-9690-230325a62c60,How to delete values in PostgreSQL?                             ,Title-7                                                         ,469d7302-7fc1-403f-ac42-a84850433dfe,2013-11-21 00:00:00-05,2016-01-23 00:00:00-05
676132f9-f096-4ee3-98e6-0af366e6358b,What is a Dataframe?                                            ,Title-8                                                         ,8686702a-5f5e-4917-8fd2-01eb7a0369f6,1999-11-24 00:00:00-05,2021-09-05 00:00:00-04
713780aa-7cb0-4e32-9ae2-ed1b6eb706b4,What is the use of Solver in Excel?                             ,Title-9                                                         ,726789c7-5a76-41cf-9e57-cc2b5a713485,2003-05-13 00:00:00-04,2017-07-26 00:00:00-04
74dd7c44-d969-483e-88e6-d51ab3d4192d,What is a Binary Classifier?                                    ,Title-10                                                        ,2be458bf-f1c3-4393-99ea-58bab9865dea,2019-03-06 00:00:00-05,2018-05-07 00:00:00-04
8124984a-22e9-4233-a9fc-baf233d63d1e,What is a kNN?                                                  ,Title-11                                                        ,37ee18d2-0917-4a2e-8b07-d380dd3c7ae0,2016-11-23 00:00:00-05,2016-10-26 00:00:00-04
913026ed-0d2c-49a5-afd2-1f95f79e2667,What is a Radial Basis Function?                                ,Title-12                                                        ,387bb5d7-9b84-4867-8597-65ed834dddcd,2012-09-30 00:00:00-04,2018-02-26 00:00:00-05
949dcc49-3220-42a8-959c-e0c807a7be75,How to update values in PostgreSQL?                             ,Title-13                                                        ,475300e3-5ae8-48ff-a574-b293f5f596f4,2012-07-12 00:00:00-04,2021-03-29 00:00:00-04
97296533-a502-43c2-88ce-819de374dc95,What is the use of Crystall Ball?                               ,Title-14                                                        ,6a5593af-3a51-4ffe-b2c1-852d1d51f42c,2018-10-03 00:00:00-04,2017-02-27 00:00:00-05
9784fb6f-d543-4e1d-8651-dbe0f21b50ef,How to create a pandas dataframe?                               ,Title-15                                                        ,87c19966-a598-4199-9c20-45c58559b184,2015-11-06 00:00:00-05,2021-05-17 00:00:00-04
9f284888-96ee-4868-848a-d056a47df95d,How to Update values in MySQL?                                  ,Title-16                                                        ,58b2b648-61ed-4f0b-abb4-f54d5bd19ba0,1999-01-13 00:00:00-05,2018-02-23 00:00:00-05
d34860d3-9d23-467f-96b2-18c08d77779a,What are heatmaps?                                              ,Title-17                                                        ,75fda575-78d8-411d-a343-4c5036217903,2011-06-11 00:00:00-04,2019-05-23 00:00:00-04
e6b0c3e8-0fbc-46a1-9d54-08112d8a6bac,What is Simplex LP?                                             ,Title-18                                                        ,6b143124-2d90-4d31-84d3-66f04b411423,1997-01-08 00:00:00-05,2019-02-04 00:00:00-05
f2aa45e7-f98e-4d7b-b4b5-621d58cc8367,What is the use of PgAdmin4?                                    ,Title-19                                                        ,17d722aa-dcbe-4f9a-a517-9bd34b355809,2011-03-19 00:00:00-04,2019-02-21 00:00:00-05
f3eacb8a-6eef-462f-82f9-591b5e815006,What is Bagging?                                                ,Title-20                                                        ,1c4e1640-cadf-4628-a8be-f6b49635fef7,2015-11-03 00:00:00-05,2018-11-04 00:00:00-04
